"apple" "apples"
"orange" "oranges"
"pear" "pears"
"grapefruit" "grapefruits"
"piece of paper" "pieces of paper"
"child" "children"
"case" "cases"
"berry" "berries"
"strawberry" "strawberries"
"melon" "melons"
"cactus" "cacti"
"fig" "figs"
"pineapple" "pineapples"
"lemon" "lemons"
"olive" "olives"
"tomato" "tomatoes"
"pumpkin" "pumpkins"
"cucumber" "cucumbers"
"plant" "plants"
"eggplant" "eggplants"
"squash" "squashes"
"pea" "peas"
